datum,event_code,goldstein_scale,num_sources,geo_country,geo_country_code,geo_lat,geo_long,sourceurls
08-04-18,180,-9,1,"Irepodun, Oyo, Nigeria",NI,7.5675,3.92889,http://thenationonlineng.net/offa-killings-apc-caucus-decries-carnage/
08-04-18,180,-9,1,"Cardington, Ohio, United States",US,40.5006,-82.8935,https://www.portclintonnewsherald.com/story/news/politics/2018/04/06/fbi-cliff-rosenberger-ohio-house-speaker/495424002/
08-04-18,182,-9.5,1,"Trump Tower, New York, United States",US,40.7625,-73.9744,http://kstp.com/news/fire-trump-tower-new-york-city-fire-department/4856725/
08-04-18,182,-9.5,1,"New York, United States",US,42.1497,-74.9384,http://kstp.com/news/fire-trump-tower-new-york-city-fire-department/4856725/
08-04-18,182,-9.5,1,"New York, United States",US,42.1497,-74.9384,http://kstp.com/news/fire-trump-tower-new-york-city-fire-department/4856725/
08-04-18,182,-9.5,1,"New York, United States",US,42.1497,-74.9384,https://www.yahoo.com/news/trump-tower-fire-president-says-225349963.html
08-04-18,1823,-10,1,,,0,0,https://www.joe.co.uk/news/flowers-and-card-left-outside-pensioners-home-for-burglar-stabbed-to-death-in-hither-green-171575
08-04-18,180,-9,1,"Colorado, United States",US,39.0646,-105.327,http://www.kansascity.com/news/politics-government/article208258194.html
08-04-18,1823,-10,1,"Kiryat Motzkin, H_efa, Israel",IS,32.8371,35.0776,https://www.haaretz.com/israel-news/suspected-murder-muicide-in-northern-israeli-city-1.5978169
08-04-18,186,-10,1,"Dallas, Texas, United States",US,32.7831,-96.8067,https://www.nbcnews.com/pop-culture/movies/chappaquiddick-ted-kennedy-scandal-gets-its-hollywood-close-n861536?cid=public-rss_20180408
08-04-18,186,-10,1,"Hollywood, California, United States",US,34.0983,-118.327,https://www.nbcnews.com/pop-culture/movies/chappaquiddick-ted-kennedy-scandal-gets-its-hollywood-close-n861536?cid=public-rss_20180408
08-04-18,186,-10,1,"Los Angeles, California, United States",US,34.0522,-118.244,http://www.tribdem.com/news/former-bedford-county-man-hit-by-bullet-the-day-robert/article_b6a46c0c-3aa8-11e8-a842-77ee2cde6e2f.html
08-04-18,182,-9.5,2,,,0,0,http://www.wbtv.com/story/37903690/cops-woman-accused-of-murdering-wife-called-it-a-mistake
08-04-18,182,-9.5,1,Germany,GM,51.5,10.5,http://www.nydailynews.com/newswires/news/world/latest-german-pub-owners-express-sadness-crash-article-1.3920279
08-04-18,180,-9,1,"Delhi, Delhi, India",IN,28.6667,77.2167,http://www.dnaindia.com/delhi/report-doctor-thrashed-at-sushrut-trauma-centre-by-patient-s-attendants-police-2602223
08-04-18,180,-9,1,"Massachusetts, United States",US,42.2373,-71.5314,http://freerepublic.com/focus/f-news/3645724/posts
08-04-18,180,-9,4,"Ghouta, Dimashq, Syria",SY,33.5,36.3833,http://mwcnews.net/news/middle-east/71417-offensive-in-rebel-held-douma.html
08-04-18,180,-9,2,Russia,RS,60,100,http://mwcnews.net/news/middle-east/71417-offensive-in-rebel-held-douma.html
08-04-18,180,-9,3,"Damascus, Dimashq, Syria",SY,33.5,36.3,http://www.xinhuanet.com/english/2018-04/08/c_137094200.htm
08-04-18,1821,-9,2,"White House, District of Columbia, United States",US,38.8951,-77.0364,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Honduras,HO,15,-86.5,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,180,-9,1,"Minneapolis, Minnesota, United States",US,44.98,-93.2638,http://www.watertowndailytimes.com/national/in-minneapolis-stricter-rules-for-police-body-cameras-20180407
08-04-18,1821,-9,1,"Washington, District of Columbia, United States",US,38.8951,-77.0364,https://www.nbcnews.com/politics/white-house/trump-claims-women-immigrant-caravan-being-raped-levels-never-seen-n863061?cid=public-rss_20180408
08-04-18,1821,-9,1,"Virginia, United States",US,37.768,-78.2057,https://www.nbcnews.com/politics/white-house/trump-claims-women-immigrant-caravan-being-raped-levels-never-seen-n863061?cid=public-rss_20180408
08-04-18,180,-9,1,"Colorado, United States",US,39.0646,-105.327,http://www.kansascity.com/news/politics-government/article208258194.html
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Honduras,HO,15,-86.5,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,1821,-9,1,Mexico,MX,23,-102,https://www.nbcnews.com/politics/white-house/white-house-defends-trump-s-caravan-rapes-remark-n863456?cid=public-rss_20180408
08-04-18,180,-9,1,"Massachusetts, United States",US,42.2373,-71.5314,http://freerepublic.com/focus/f-news/3645724/posts
09-03-18,180,-9,5,"Sasebo, Nagasaki, Japan",JA,33.1592,129.723,https://www.thenews.com.pk/print/301780-japan-activates-first-marines-since-wwii
09-03-18,180,-9,5,"Okinawa, Okinawa, Japan",JA,26.3358,127.801,https://www.thenews.com.pk/print/301780-japan-activates-first-marines-since-wwii
09-03-18,180,-9,5,"Sasebo, Nagasaki, Japan",JA,33.1592,129.723,https://www.thenews.com.pk/print/301780-japan-activates-first-marines-since-wwii
08-04-18,1821,-9,4,"Massachusetts, United States",US,42.2373,-71.5314,http://www.southcoasttoday.com/news/20180407/massachusetts-lawmakers-ok-bill-calling-for-rape-kit-testing
08-04-18,1822,-9,1,Belgium,BE,50.833333,4,http://lapostexaminer.com/gravensteen-castle-torture-museum/2018/04/07
08-04-18,180,-9,1,Russia,RS,60,100,http://mainichi.jp/english/articles/20180408/p2a/00m/0na/002000c
08-04-18,180,-9,1,"Salisbury Plain, Wiltshire, United Kingdom",UK,51.2167,-1.83333,https://www.thenews.com.pk/print/301874-in-kenya-british-soldiers-train-in-massive-war-games
08-04-18,180,-9,1,"Salisbury Plain, Wiltshire, United Kingdom",UK,51.2167,-1.83333,https://www.thenews.com.pk/print/301874-in-kenya-british-soldiers-train-in-massive-war-games
08-04-18,180,-9,1,Kenya,KE,1,38,https://www.thenews.com.pk/print/301874-in-kenya-british-soldiers-train-in-massive-war-games
08-04-18,180,-9,2,United Kingdom,UK,54,-4,https://www.thenews.com.pk/print/301792-uk-troops-in-kenya-for-training-mission
08-04-18,186,-10,1,"Alabama, United States",US,32.799,-86.8073,https://www.opednews.com/populum/authorspage.php/author35217.html
08-04-18,186,-10,1,Cuba,CU,22,-79.5,https://www.opednews.com/populum/authorspage.php/author35217.html
08-04-18,186,-10,1,Cuba,CU,22,-79.5,https://www.opednews.com/populum/authorspage.php/author35217.html
08-04-18,186,-10,1,"New York, United States",US,42.1497,-74.9384,https://www.opednews.com/populum/authorspage.php/author35217.html
08-04-18,182,-9.5,5,"New York, United States",US,42.1497,-74.9384,https://www.usatoday.com/story/news/2018/04/07/trump-tower-fire-new-york-city/496553002/
08-04-18,1822,-9,1,"Washington, United States",US,47.3917,-121.571,https://www.opednews.com/populum/page.php?f=John-Kiriakou-Torture-Dir-by-Robert-Scheer-CIA_Gina-Haspel_John-Kiriakou_Nomination-180407-57.html
08-04-18,186,-10,1,"Doha, Ad Daw?ah, Qatar",QA,25.2867,51.5333,https://www.msn.com/en-ae/news/other/commercial-bank-hosts-nbo-investor-roadshow-in-doha/ar-AAvBfTq
08-04-18,180,-9,2,Russia,RS,60,100,https://www.mediaite.com/online/roger-stone-says-congressmen-told-him-jeff-sessions-has-lost-it-he-might-even-be-senile/
08-04-18,180,-9,2,Russia,RS,60,100,https://www.mediaite.com/online/roger-stone-says-congressmen-told-him-jeff-sessions-has-lost-it-he-might-even-be-senile/
08-04-18,180,-9,8,"Massachusetts, United States",US,42.2373,-71.5314,http://www.southcoasttoday.com/news/20180407/massachusetts-lawmakers-ok-bill-calling-for-rape-kit-testing
08-04-18,1821,-9,3,"Boston, Massachusetts, United States",US,42.3584,-71.0598,http://www.southcoasttoday.com/news/20180407/massachusetts-lawmakers-ok-bill-calling-for-rape-kit-testing
08-04-18,1821,-9,2,"Massachusetts, United States",US,42.2373,-71.5314,http://www.southcoasttoday.com/news/20180407/massachusetts-lawmakers-ok-bill-calling-for-rape-kit-testing
